Operation,Implementation,MinLatency,MaxLatency,Sign,Function
fadd,fabric,0,13,+,0
fadd,fulldsp,0,12,+,0
fadd,primitivedsp,0,3,+,0
fsub,fabric,0,13,-,0
fsub,fulldsp,0,12,-,0
fsub,primitivedsp,0,3,-,0
fdiv,fabric,0,29,/,0
fexp,fabric,0,24,0,exp
fexp,meddsp,0,21,0,exp
fexp,fulldsp,0,30,0,exp
flog,fabric,0,24,0,log
flog,meddsp,0,23,0,log
flog,fulldsp,0,29,0,log
fmul,fabric,0,9,*,0
fmul,meddsp,0,9,*,0
fmul,fulldsp,0,9,*,0
fmul,maxdsp,0,7,*,0
fmul,primitivedsp,0,4,*,0
fsqrt,fabric,0,29,0,sqrt
frsqrt,fabric,0,38,0,sqrt
frsqrt,fulldsp,0,33,0,sqrt
frecip,fabric,0,37,0,inv
frecip,fulldsp,0,30,0,inv
dadd,fabric,0,13,+,0
dadd,fulldsp,0,15,+,0
dsub,fabric,0,13,-,0
dsub,fulldsp,0,15,-,0
ddiv,fabric,0,58,/,0
dexp,fabric,0,40,0,exp
dexp,meddsp,0,45,0,exp
dexp,fulldsp,0,57,0,exp
dlog,fabric,0,38,0,log
dlog,meddsp,0,49,0,log
dlog,fulldsp,0,65,0,log
dmul,fabric,0,10,*,0
dmul,meddsp,0,13,*,0
dmul,fulldsp,0,13,*,0
dmul,maxdsp,0,14,*,0
dsqrt,fabric,0,58,0,sqrt
drsqrt,fulldsp,0,111,0,sqrt
drecip,fulldsp,0,36,0,inv
hadd,fabric,0,9,+,0
hadd,meddsp,0,12,+,0
hadd,fulldsp,0,12,+,0
hsub,fabric,0,9,-,0
hsub,meddsp,0,12,-,0
hsub,fulldsp,0,12,-,0
hdiv,fabric,0,16,/,0
hmul,fabric,0,7,*,0
hmul,fulldsp,0,7,*,0
hmul,maxdsp,0,9,*,0
hsqrt,fabric,0,16,0,sqrt
