Operation,Implementation,WordLength,IntegerBits,ExternalDataWidth,MinLatency,MaxLatency,Sign,Function
mul,fabric,8,3,64,0,4,*,0
mul,fabric,8,4,64,0,4,*,0
mul,fabric,16,6,32,0,4,*,0
mul,fabric,16,8,32,0,4,*,0
mul,fabric,32,12,16,0,4,*,0
mul,fabric,32,16,16,0,4,*,0
mul,fabric,64,12,8,0,4,*,0
mul,fabric,64,24,8,0,4,*,0
mul,dsp,8,3,64,0,4,*,0
mul,dsp,8,4,64,0,4,*,0
mul,dsp,16,6,32,0,4,*,0
mul,dsp,16,8,32,0,4,*,0
mul,dsp,32,12,16,0,4,*,0
mul,dsp,32,16,16,0,4,*,0
mul,dsp,64,12,8,0,4,*,0
mul,dsp,64,24,8,0,4,*,0
add,fabric,8,3,64,0,4,+,0
add,fabric,8,4,64,0,4,+,0
add,fabric,16,6,32,0,4,+,0
add,fabric,16,8,32,0,4,+,0
add,fabric,32,12,16,0,4,+,0
add,fabric,32,16,16,0,4,+,0
add,fabric,64,12,8,0,4,+,0
add,fabric,64,24,8,0,4,+,0
add,dsp,8,3,64,0,4,+,0
add,dsp,8,4,64,0,4,+,0
add,dsp,16,6,32,0,4,+,0
add,dsp,16,8,32,0,4,+,0
add,dsp,32,12,16,0,4,+,0
add,dsp,32,16,16,0,4,+,0
add,dsp,64,12,8,0,4,+,0
add,dsp,64,24,8,0,4,+,0
sub,fabric,8,3,64,0,4,-,0
sub,fabric,8,4,64,0,4,-,0
sub,fabric,16,6,32,0,4,-,0
sub,fabric,16,8,32,0,4,-,0
sub,fabric,32,12,16,0,4,-,0
sub,fabric,32,16,16,0,4,-,0
sub,fabric,64,12,8,0,4,-,0
sub,fabric,64,24,8,0,4,-,0
sub,dsp,8,3,64,0,4,-,0
sub,dsp,8,4,64,0,4,-,0
sub,dsp,16,6,32,0,4,-,0
sub,dsp,16,8,32,0,4,-,0
sub,dsp,32,12,16,0,4,-,0
sub,dsp,32,16,16,0,4,-,0
sub,dsp,64,12,8,0,4,-,0
sub,dsp,64,24,8,0,4,-,0
div,fabric,8,3,64,0,4,/,0
div,fabric,8,4,64,0,4,/,0
div,fabric,16,6,32,0,4,/,0
div,fabric,16,8,32,0,4,/,0
div,fabric,32,12,16,0,4,/,0
div,fabric,32,16,16,0,4,/,0
div,fabric,64,12,8,0,4,/,0
div,fabric,64,24,8,0,4,/,0
div,dsp,8,3,64,0,4,/,0
div,dsp,8,4,64,0,4,/,0
div,dsp,16,6,32,0,4,/,0
div,dsp,16,8,32,0,4,/,0
div,dsp,32,12,16,0,4,/,0
div,dsp,32,16,16,0,4,/,0
div,dsp,64,12,8,0,4,/,0
div,dsp,64,24,8,0,4,/,0
exp,fabric,8,3,64,0,4,0,exp
exp,fabric,8,4,64,0,4,0,exp
exp,fabric,16,6,32,0,4,0,exp
exp,fabric,16,8,32,0,4,0,exp
exp,fabric,32,12,16,0,4,0,exp
exp,fabric,32,16,16,0,4,0,exp
exp,fabric,64,12,8,0,4,0,exp
exp,fabric,64,24,8,0,4,0,exp
exp,dsp,8,3,64,0,4,0,exp
exp,dsp,8,4,64,0,4,0,exp
exp,dsp,16,6,32,0,4,0,exp
exp,dsp,16,8,32,0,4,0,exp
exp,dsp,32,12,16,0,4,0,exp
exp,dsp,32,16,16,0,4,0,exp
exp,dsp,64,12,8,0,4,0,exp
exp,dsp,64,24,8,0,4,0,exp
log,fabric,8,3,64,0,4,0,log
log,fabric,8,4,64,0,4,0,log
log,fabric,16,6,32,0,4,0,log
log,fabric,16,8,32,0,4,0,log
log,fabric,32,12,16,0,4,0,log
log,fabric,32,16,16,0,4,0,log
log,fabric,64,12,8,0,4,0,log
log,fabric,64,24,8,0,4,0,log
log,dsp,8,3,64,0,4,0,log
log,dsp,8,4,64,0,4,0,log
log,dsp,16,6,32,0,4,0,log
log,dsp,16,8,32,0,4,0,log
log,dsp,32,12,16,0,4,0,log
log,dsp,32,16,16,0,4,0,log
log,dsp,64,12,8,0,4,0,log
log,dsp,64,24,8,0,4,0,log
sqrt,fabric,8,3,64,0,4,0,sqrt
sqrt,fabric,8,4,64,0,4,0,sqrt
sqrt,fabric,16,6,32,0,4,0,sqrt
sqrt,fabric,16,8,32,0,4,0,sqrt
sqrt,fabric,32,12,16,0,4,0,sqrt
sqrt,fabric,32,16,16,0,4,0,sqrt
sqrt,fabric,64,12,8,0,4,0,sqrt
sqrt,fabric,64,24,8,0,4,0,sqrt
sqrt,dsp,8,3,64,0,4,0,sqrt
sqrt,dsp,8,4,64,0,4,0,sqrt
sqrt,dsp,16,6,32,0,4,0,sqrt
sqrt,dsp,16,8,32,0,4,0,sqrt
sqrt,dsp,32,12,16,0,4,0,sqrt
sqrt,dsp,32,16,16,0,4,0,sqrt
sqrt,dsp,64,12,8,0,4,0,sqrt
sqrt,dsp,64,24,8,0,4,0,sqrt
rsqrt,fabric,8,3,64,0,4,0,rsqrt
rsqrt,fabric,8,4,64,0,4,0,rsqrt
rsqrt,fabric,16,6,32,0,4,0,rsqrt
rsqrt,fabric,16,8,32,0,4,0,rsqrt
rsqrt,fabric,32,12,16,0,4,0,rsqrt
rsqrt,fabric,32,16,16,0,4,0,rsqrt
rsqrt,fabric,64,12,8,0,4,0,rsqrt
rsqrt,fabric,64,24,8,0,4,0,rsqrt
rsqrt,dsp,8,3,64,0,4,0,rsqrt
rsqrt,dsp,8,4,64,0,4,0,rsqrt
rsqrt,dsp,16,6,32,0,4,0,rsqrt
rsqrt,dsp,16,8,32,0,4,0,rsqrt
rsqrt,dsp,32,12,16,0,4,0,rsqrt
rsqrt,dsp,32,16,16,0,4,0,rsqrt
rsqrt,dsp,64,12,8,0,4,0,rsqrt
rsqrt,dsp,64,24,8,0,4,0,rsqrt
recip,fabric,8,3,64,0,4,0,recip
recip,fabric,8,4,64,0,4,0,recip
recip,fabric,16,6,32,0,4,0,recip
recip,fabric,16,8,32,0,4,0,recip
recip,fabric,32,12,16,0,4,0,recip
recip,fabric,32,16,16,0,4,0,recip
recip,fabric,64,12,8,0,4,0,recip
recip,fabric,64,24,8,0,4,0,recip
recip,dsp,8,3,64,0,4,0,recip
recip,dsp,8,4,64,0,4,0,recip
recip,dsp,16,6,32,0,4,0,recip
recip,dsp,16,8,32,0,4,0,recip
recip,dsp,32,12,16,0,4,0,recip
recip,dsp,32,16,16,0,4,0,recip
recip,dsp,64,12,8,0,4,0,recip
